mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
57791.32649,-12.30805,0.00353,-11.23253,0.00347,EulerCAM
57803.39559,-12.31942,0.00294,-11.26760,0.01323,EulerCAM
57811.34592,-12.34568,0.00536,-11.24343,0.00432,EulerCAM
57820.36358,-12.35702,0.00261,-11.25250,0.00578,EulerCAM
57824.30336,-12.34996,0.00555,-11.28953,0.01150,EulerCAM
57833.32310,-12.37231,0.00206,-11.26464,0.00392,EulerCAM
57837.25099,-12.38736,0.00197,-11.27369,0.00619,EulerCAM
57845.23429,-12.38395,0.00204,-11.25729,0.00354,EulerCAM
57849.11824,-12.37969,0.00228,-11.27311,0.00459,EulerCAM
57858.27956,-12.36529,0.00375,-11.30244,0.01426,EulerCAM
57862.26294,-12.38030,0.00244,-11.30782,0.00980,EulerCAM
57873.17641,-12.36901,0.00502,-11.31308,0.00466,EulerCAM
57893.09789,-12.37511,0.00243,-11.35064,0.00391,EulerCAM
57904.07705,-12.39343,0.00399,-11.35986,0.00485,EulerCAM
57905.96704,-12.37059,0.00321,-11.32404,0.00889,EulerCAM
57925.01947,-12.39984,0.00234,-11.34921,0.00431,EulerCAM
57952.01370,-12.45465,0.00228,-11.36210,0.00580,EulerCAM
57956.01154,-12.46650,0.00229,-11.37227,0.00765,EulerCAM
57960.01558,-12.45330,0.00374,-11.38283,0.00726,EulerCAM
57967.99635,-12.43242,0.00401,-11.37763,0.01335,EulerCAM
